SEQNO,SYSID,JOBNAME,MSGID,TIMESTMP,USERID,TEXT,LABEL
772,MVSF,CONSOLE,IEF285I,09.05.59,OPSS,OPS TRAINING: NORMAL MSG 1 - SYSTEM OK,normal
773,MVSF,START1,IEF285I,09.45.07,SYSOP,-WTO1,normal
774,MVSF,OPSS,PMO388I,09.52.27,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
775,MVSF,CONSOLE,EZZ6034E,09.32.08,USER325,ALERT: Disk usage at 95% - action required,critical
776,MVSF,START1,CRIT1000,09.14.19,USER325,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
777,MVSF,USER325M,EZZ6034I,09.49.25,SYSOP,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
778,MVSF,START1,PREFIX,09.57.52,USER325M,-WTOR1,normal
779,MVSF,START1,PMO396I,09.38.24,START1,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
780,MVSF,PM0,PMO388I,09.19.49,USER325,-WTO1,normal
781,MVSF,JES2,EZZ6034I,09.42.00,START1,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
782,MVSF,OPSS,IEF403I,09.43.43,USER325,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
783,MVSF,START1,IEF196I,09.37.32,USER325M,-STEPEND,normal
784,MVSF,PM0,IEF403I,09.38.50,SYSOP,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
785,MVSF,PM0,DBSERR01,09.32.42,START1,CRITICAL: DB connection FAILED on DB2 - RETURN CODE 100,critical
786,MVSF,JES2,PMO388I,09.36.39,USER325M,-WTO1,normal
787,MVSF,START1,EZZ6034E,09.49.29,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
788,MVSF,OPSS,PMO396I,09.10.11,USER325M,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
789,MVSF,START1,PMO388I,09.41.20,START1,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
790,MVSF,CONSOLE,IEF403I,09.28.15,OPSS,"SE '09.01.46 JOB03273 $HASP165 USER325M ENDED AT MVSF MAXCC=0000',LOGON",normal
791,MVSF,START1,PMO388I,09.20.38,USER325,-STEPEND,normal
792,MVSF,START1,DBSERR01,09.01.42,START1,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
793,MVSF,CONSOLE,PREFIX,09.33.00,SYSOP,-WTO4,normal
794,MVSF,USER325,IEF196I,09.49.27,OPSS,EZZ6034I TN3270 CONN 000585F0 LU MULTIPLE CONN DROP  ERR 4014,normal
795,MVSF,OPSS,EZZ6034E,09.46.54,SYSOP,OPS TRAINING: CRITICAL - COFFEE LEVEL LOW,critical
796,MVSF,OPSS,IEF196I,09.39.25,USER325M,OPS TRAINING: NORMAL MSG 2 - JUST CHECKING IN,normal
797,MVSF,CONSOLE,IEF285I,09.36.20,USER325M,-WTO2,normal
798,MVSF,CONSOLE,IEF403I,09.07.48,OPSS,-WTO1,normal
799,MVSF,START1,IEF196I,09.21.44,USER325M,-WTO2,normal
800,MVSF,USER325,CRIT1000,09.04.51,USER325M,ERROR: Job STEP1 ABEND RC=16 - URGENT,critical
